measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,rei_id,rei_name,metric_id,metric_name,year,val,upper,lower
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1990,7767.4993885570175,11587.598561191298,-2.2751103e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1990,6771.681149071774,9936.1848569074,6.47067e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1990,14539.18053762877,20892.98108447058,4.252342e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1991,7899.931809458997,11802.10259184393,2.975798e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1991,6966.555343317576,10129.0474297409,5.24596e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1991,14866.48715277658,21329.604420161617,1.9770725e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1992,8246.023483526771,12200.23993272197,-2.104658e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1992,7303.649142088328,10479.351907736424,3.99911e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1992,15549.672625615092,22084.69618570431,9.895916e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1993,8711.647547833507,12645.737053248398,7.308237e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1993,7713.649136098813,11114.238499237172,1.227419e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1993,16425.296683932324,23281.651440272773,1.2970751e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1994,8977.487076001416,12661.42539996452,-2.475255e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1994,8054.791580961826,11505.132547248337,4.24839e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1994,17032.278656963244,23866.933149693312,6.557399e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1995,9439.285298907986,13128.384100251837,5.003521e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1995,8594.110353029955,12202.96397175538,1.31764e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1995,18033.395651937943,25014.68350599168,4.53899e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1996,9892.087815847875,13764.441123449618,9.112605e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1996,8976.342344708693,12819.264899418216,8.07619e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1996,18868.43016055658,26004.62362350553,9.944655e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1997,10178.158824301046,14118.168882205086,2.691955e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1997,9245.73811489714,13284.510999744209,8.98919e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1997,19423.89693919819,26528.5975697121,3.222968e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1998,10524.433350900264,14552.40681587957,5.1247712e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1998,9620.652321108924,13642.032672647772,4.17165e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1998,20145.085672009187,27704.332388515344,5.0892644e-09
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1999,11084.95668594103,15259.829862438532,4.779322e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1999,10121.299333928784,14364.344280165958,1.056521e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,1999,21206.2560198698,29017.561519187784,3.385476e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2000,11544.147849275469,15811.20845263627,4.279484e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2000,10420.142958723329,15002.844110478904,1.37415e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2000,21964.29080799881,30261.73464143297,3.450521e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2001,12059.881187955005,16434.728466946748,1.023851e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2001,10872.02707547763,15705.839338293645,5.84147e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2001,22931.90826343264,31905.11662099216,-3.27401e-11
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2002,12668.319048504423,17508.211663984133,3.296881e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2002,11378.704357856936,16588.786726040264,7.30848e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2002,24047.02340636136,33862.3217692186,3.148923e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2003,13286.165832803475,18302.25330488309,4.680817e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2003,11930.066961577704,17498.575911855223,3.160023e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2003,25216.232794381183,35166.539624588935,7.112188e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2004,13815.806344718192,19025.68714803809,7.270539e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2004,12368.081788437188,18684.47449744062,1.359956e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2004,26183.888133155357,37024.3163870691,6.795054e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2005,14294.579667660992,19749.90560303827,6.036815e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2005,12730.904944495518,19509.288336077097,5.18648e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2005,27025.484612156517,38711.22284727146,4.603582e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2006,14791.611381868252,20193.419849573853,5.13472e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2006,13158.207382282995,20360.981171916355,4.39446e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2006,27949.818764151227,40309.74065644362,7.870903e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2007,15414.22290493844,21481.110430383607,5.54937e-10
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2007,13738.435702935623,21000.908643951327,9.80051e-11
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2007,29152.658607874066,42473.73757163084,4.907012e-10
1,Deaths,241,Latin America & Caribbean - WB,1,Male,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2008,16007.33062934174,22382.76540890332,1.3812964e-09
1,Deaths,241,Latin America & Caribbean - WB,2,Female,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2008,14175.330199087975,21908.08801215654,1.020807e-10
1,Deaths,241,Latin America & Caribbean - WB,3,Both,22,All ages,409,Non-communicable diseases,116,Diet high in red meat,1,Number,2008,30182.660828429696,43807.576777668975,1.5158058e-09
