anal_year,year,sex_id,sex_name,rei_id,rei_name,measure_name,lower,upper,val,val_ref,lower_ref,upper_ref,position,interval_overlap
2019,1994,1,Male,111,Diet low in fruits,DALYs (Disability-Adjusted Life Years),2418357.677354379,4337425.419765434,3388527.4403313203,5391864.449438993,1647563.6032602778,8452188.685254544,above,overlap
2019,1994,1,Male,112,Diet low in vegetables,DALYs (Disability-Adjusted Life Years),1333642.5553296648,2726166.7567741475,2047354.85371284,2265714.6573849586,1149024.805254474,3293521.660435182,within,overlap
2019,1994,1,Male,113,Diet low in whole grains,DALYs (Disability-Adjusted Life Years),1441469.0857672356,4191694.9763003807,3216889.053019326,2746914.578595879,1435769.0331105583,3982656.59824014,within,overlap
2019,1994,1,Male,114,Diet low in nuts and seeds,DALYs (Disability-Adjusted Life Years),1256091.3051525434,2650120.778226953,1993632.525527086,2425622.530265199,758810.5618381004,3842240.016643132,within,overlap
2019,1994,1,Male,115,Diet low in milk,DALYs (Disability-Adjusted Life Years),62101.37425970509,121593.97366314643,91043.24615902126,53758.96651577125,28422.78015361225,82195.32958401032,below,overlap
2019,1994,1,Male,116,Diet high in red meat,DALYs (Disability-Adjusted Life Years),158866.5941987406,626571.4966117211,391287.18750443467,22226.2717080754,-28156.411958938304,67116.04320251459,below,no overlap - reference below
2019,1994,1,Male,117,Diet high in processed meat,DALYs (Disability-Adjusted Life Years),178463.2122624965,440161.7579058435,287559.0977482595,166845.27497664312,38637.48862983985,290459.22760427644,below,overlap
2019,1994,1,Male,118,Diet high in sugar-sweetened beverages,DALYs (Disability-Adjusted Life Years),227929.82263621243,407222.69250845216,319361.8069798186,61513.4550797611,24845.574857119245,102307.98527386104,below,no overlap - reference below
2019,1994,1,Male,119,Diet low in fiber,DALYs (Disability-Adjusted Life Years),1156838.8584680115,2830649.4135158234,1968037.2293683211,2320895.152516799,921879.3268957464,3585173.912424464,within,overlap
2019,1994,1,Male,121,Diet low in seafood omega-3 fatty acids,DALYs (Disability-Adjusted Life Years),246589.74387745577,1062524.2401553802,765005.8919328073,2494666.8869655104,557384.0298664392,3932728.637805711,above,overlap
2019,1994,1,Male,122,Diet low in polyunsaturated fatty acids,DALYs (Disability-Adjusted Life Years),139501.1496711902,2132743.312699084,1069635.8426971382,1856852.3684560887,-6827392.197469011,6934885.012961734,within,overlap
2019,1994,1,Male,123,Diet high in trans fatty acids,DALYs (Disability-Adjusted Life Years),125566.6452576195,2668157.983772005,1937298.4191874557,826114.2685344745,91244.82336296908,1586334.8699541506,within,overlap
2019,1994,1,Male,124,Diet high in sodium,DALYs (Disability-Adjusted Life Years),226849.6948403423,5538918.26926627,2067596.138417741,1667285.6956111684,125464.91359845748,4596001.355546085,within,overlap
2019,1994,1,Male,125,Low physical activity,DALYs (Disability-Adjusted Life Years),288547.6735253133,1420137.935087892,676591.6267380023,621989.7303632753,267548.66865346424,1011976.4394764012,within,overlap
2019,1994,1,Male,147,Diet low in calcium,DALYs (Disability-Adjusted Life Years),71572.07898418681,116834.40660896308,91083.36615945608,54362.67111583195,41304.38356352436,70133.6595449199,below,no overlap - reference below
2019,1994,1,Male,333,Diet low in legumes,DALYs (Disability-Adjusted Life Years),539628.6362641422,4215314.4624013705,2572820.7518504485,907998.8525728952,-827850.4431348729,2227212.178526984,within,overlap
2019,1994,2,Female,111,Diet low in fruits,DALYs (Disability-Adjusted Life Years),1564441.9660099605,2765173.494883711,2172799.819008039,3629279.966294755,1300308.7765264986,5624029.313756853,above,overlap
2019,1994,2,Female,112,Diet low in vegetables,DALYs (Disability-Adjusted Life Years),804384.7847568057,1705864.908007335,1254822.645567314,1769064.249149538,932475.256288816,2540062.6028341744,above,overlap
2019,1994,2,Female,113,Diet low in whole grains,DALYs (Disability-Adjusted Life Years),808701.1071059846,2219557.757305871,1689625.1795643622,1570853.6674319352,768931.4662793021,2361969.059963376,within,overlap
2019,1994,2,Female,114,Diet low in nuts and seeds,DALYs (Disability-Adjusted Life Years),631276.2388820203,1385458.670384548,1033461.1607946882,1317877.982114726,434405.0374404288,2150562.546784443,within,overlap
2019,1994,2,Female,115,Diet low in milk,DALYs (Disability-Adjusted Life Years),59903.19759451907,118426.43796590512,87093.56032476557,103804.91359026777,29036.5080152148,169549.8224784052,within,overlap
2019,1994,2,Female,116,Diet high in red meat,DALYs (Disability-Adjusted Life Years),127196.0568660426,424350.9863200636,277732.7166943072,100477.1498251394,-5.076900495778089,167674.55225489844,below,overlap
2019,1994,2,Female,117,Diet high in processed meat,DALYs (Disability-Adjusted Life Years),113632.6780531556,268151.1844656881,178975.1606477408,139035.60017365107,30139.58311108733,240112.62712392423,within,overlap
2019,1994,2,Female,118,Diet high in sugar-sweetened beverages,DALYs (Disability-Adjusted Life Years),120266.50025064824,232108.08323593476,176390.2759713202,52795.56268069927,22918.900885461844,83829.47248895513,below,no overlap - reference below
2019,1994,2,Female,119,Diet low in fiber,DALYs (Disability-Adjusted Life Years),713784.9615259373,1705095.0324364365,1196172.6203827497,1380160.3880761575,493580.9684256316,2238783.0880125426,within,overlap
2019,1994,2,Female,121,Diet low in seafood omega-3 fatty acids,DALYs (Disability-Adjusted Life Years),118972.60524880853,551993.49504204,385091.1135122269,1515593.3930143202,368822.0525749591,2525610.8831443004,above,overlap
2019,1994,2,Female,122,Diet low in polyunsaturated fatty acids,DALYs (Disability-Adjusted Life Years),70255.2610746162,1103357.1938904542,541427.0699445589,1008060.8648539972,-3706768.595303392,3840795.85129882,within,overlap
2019,1994,2,Female,123,Diet high in trans fatty acids,DALYs (Disability-Adjusted Life Years),79858.97743367942,1348525.587753891,969214.656334155,439866.06051288,50209.72606295842,869029.2174293362,within,overlap
2019,1994,2,Female,124,Diet high in sodium,DALYs (Disability-Adjusted Life Years),71415.32214679912,3342135.378561872,1119643.8160339675,965141.3187665216,24707.960654313763,2947836.136845296,within,overlap
2019,1994,2,Female,125,Low physical activity,DALYs (Disability-Adjusted Life Years),281256.86625165545,1069044.7431301756,559113.8406518407,685698.5146495042,289041.7338087121,1098368.8408381587,within,overlap
2019,1994,2,Female,147,Diet low in calcium,DALYs (Disability-Adjusted Life Years),59630.550240657525,104176.14743365432,80094.65754815197,79092.24003835201,57945.73980340063,101545.44680941508,within,overlap
2019,1994,2,Female,333,Diet low in legumes,DALYs (Disability-Adjusted Life Years),277902.075745816,2188850.4876744966,1315004.9027883874,499888.6258471367,-456180.10379645,1292962.673378239,within,overlap
2019,1994,3,Both,111,Diet low in fruits,DALYs (Disability-Adjusted Life Years),3974425.047401316,7084540.845045432,5561327.259339364,9021144.41573375,2858651.4844815503,14024371.26000005,above,overlap
2019,1994,3,Both,112,Diet low in vegetables,DALYs (Disability-Adjusted Life Years),2108161.9819957498,4423178.398670314,3302177.499280152,4034778.906534493,2131622.78170284,5818377.231306622,within,overlap
2019,1994,3,Both,113,Diet low in whole grains,DALYs (Disability-Adjusted Life Years),2244170.8728213026,6278580.446452116,4906514.232583693,4317768.246027811,2230534.332767991,6273669.483739612,within,overlap
2019,1994,3,Both,114,Diet low in nuts and seeds,DALYs (Disability-Adjusted Life Years),1895906.5162958936,3964713.1608026098,3027093.6863217773,3743500.512379924,1187331.2738641552,5888368.914768839,within,overlap
2019,1994,3,Both,115,Diet low in milk,DALYs (Disability-Adjusted Life Years),125217.86913156332,235523.04636042807,178136.80648378655,157563.88010603905,57399.59136957512,243516.27832407143,within,overlap
2019,1994,3,Both,116,Diet high in red meat,DALYs (Disability-Adjusted Life Years),292783.3334652488,1037784.9465561992,669019.9041987419,122703.42153321464,-11.53153118847444,176920.84708942144,below,no overlap - reference below
2019,1994,3,Both,117,Diet high in processed meat,DALYs (Disability-Adjusted Life Years),297134.9302054864,703534.839902222,466534.258396,305880.87515029445,69951.98430384437,522814.48008836224,within,overlap
2019,1994,3,Both,118,Diet high in sugar-sweetened beverages,DALYs (Disability-Adjusted Life Years),349390.64382293983,629300.552297789,495752.0829511387,114309.01776046024,47936.28287537114,181998.4562683637,below,no overlap - reference below
2019,1994,3,Both,119,Diet low in fiber,DALYs (Disability-Adjusted Life Years),1891877.7593300012,4515674.002754907,3164209.8497510757,3701055.5405929536,1440221.2916231682,5731946.888128543,within,overlap
2019,1994,3,Both,121,Diet low in seafood omega-3 fatty acids,DALYs (Disability-Adjusted Life Years),371552.4383365901,1586777.2172094632,1150097.0054450335,4010260.279979829,906033.4472561608,6377982.631719446,above,overlap
2019,1994,3,Both,122,Diet low in polyunsaturated fatty acids,DALYs (Disability-Adjusted Life Years),209629.49236126785,3233528.4433856187,1611062.9126416976,2864913.2333100904,-10391676.6771527,10599948.058515504,within,overlap
2019,1994,3,Both,123,Diet high in trans fatty acids,DALYs (Disability-Adjusted Life Years),208458.6972671818,3953012.073554955,2906513.075521608,1265980.329047355,143662.4419264178,2378851.062085936,within,overlap
2019,1994,3,Both,124,Diet high in sodium,DALYs (Disability-Adjusted Life Years),298006.3199988386,8820681.55997622,3187239.954451708,2632427.014377687,152417.42017729796,7417326.362049021,within,overlap
