,Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Rank
26,,Diet low in fruits,Deaths,2010,2010,4902242.0,3818356.0,5881561.0,1.0
27,,Diet low in vegetables,Deaths,2010,2010,1797254.0,1205059.0,2394366.0,5.0
28,,Diet low in whole grains,Deaths,2010,2010,1725812.0,1342896.0,2067224.0,6.0
29,,Diet low in nuts and seeds,Deaths,2010,2010,2471823.0,1559603.0,3226994.0,4.0
30,,Diet low in milk,Deaths,2010,2010,100951.0,29728.0,171340.0,14.0
31,,Diet high in red meat,Deaths,2010,2010,38092.0,10749.0,65727.0,15.0
32,,Diet high in processed meat,Deaths,2010,2010,840857.0,188952.0,1460279.0,8.0
33,,"Diet high in 
sugar sweetened beverages",Deaths,2010,2010,299521.0,212310.0,403716.0,12.0
34,,Diet low in fiber,Deaths,2010,2010,742888.0,334379.0,1166933.0,9.0
35,,Diet low in calcium,Deaths,2010,2010,125594.0,88323.0,164800.0,13.0
36,,Diet low in seafood omega-3 fatty acids,Deaths,2010,2010,1389896.0,1010300.0,1781401.0,7.0
37,,"Diet low in 
polyunsaturated fatty acids",Deaths,2010,2010,533603.0,245096.0,820854.0,10.0
38,,Diet high in trans fatty acids,Deaths,2010,2010,515260.0,371081.0,649451.0,11.0
39,,Diet high in sodium,Deaths,2010,2010,3104308.0,2016734.0,4105019.0,3.0
40,,Low physical activity,Deaths,2010,2010,3183940.0,2657204.0,3718963.0,2.0
177,,Diet low in fruits,Deaths,2013,2013,3413000.0,2207000.0,4546000.0,2.0
178,,Diet low in vegetables,Deaths,2013,2013,1782000.0,1405000.0,2173000.0,5.0
179,,Diet low in whole grains,Deaths,2013,2013,2049000.0,1575000.0,2525000.0,4.0
180,,Diet low in nuts and seeds,Deaths,2013,2013,1195000.0,816000.0,1578000.0,6.0
181,,Diet low in milk,Deaths,2013,2013,105000.0,30000.0,177000.0,14.0
182,,Diet high in red meat,Deaths,2013,2013,102000.0,89000.0,116000.0,15.0
183,,Diet high in processed meat,Deaths,2013,2013,644000.0,467000.0,881000.0,9.0
184,,"Diet high in 
sugar sweetened beverages",Deaths,2013,2013,126000.0,96000.0,166000.0,13.0
185,,Diet low in fiber,Deaths,2013,2013,1009000.0,817000.0,1207000.0,8.0
186,,Diet low in calcium,Deaths,2013,2013,141000.0,122000.0,160000.0,12.0
187,,Diet low in seafood omega-3 fatty acids,Deaths,2013,2013,1031000.0,769000.0,1304000.0,7.0
188,,"Diet low in 
polyunsaturated fatty acids",Deaths,2013,2013,581000.0,512000.0,651000.0,10.0
189,,Diet high in trans fatty acids,Deaths,2013,2013,405000.0,218000.0,645000.0,11.0
190,,Diet high in sodium,Deaths,2013,2013,3689000.0,2028000.0,5810000.0,1.0
195,,Low physical activity,Deaths,2013,2013,2182000.0,1858000.0,2555000.0,3.0
333,,Diet low in fruits,Deaths,2015,2015,2924000.0,1905000.0,4018000.0,3.0
334,,Diet low in vegetables,Deaths,2015,2015,1994000.0,1024000.0,3121000.0,5.0
335,,Diet low in whole grains,Deaths,2015,2015,3142000.0,2215000.0,4189000.0,2.0
336,,Diet low in nuts and seeds,Deaths,2015,2015,2131000.0,1354000.0,3011000.0,4.0
337,,Diet low in milk,Deaths,2015,2015,126000.0,44000.0,212000.0,13.0
338,,Diet high in red meat,Deaths,2015,2015,43000.0,19000.0,69000.0,14.0
339,,Diet high in processed meat,Deaths,2015,2015,541000.0,156000.0,914000.0,8.0
340,,"Diet high in 
sugar sweetened beverages",Deaths,2015,2015,39000.0,27000.0,55000.0,15.0
341,,Diet low in fiber,Deaths,2015,2015,387000.0,183000.0,670000.0,11.0
342,,Diet low in calcium,Deaths,2015,2015,160000.0,95000.0,232000.0,12.0
343,,Diet low in seafood omega-3 fatty acids,Deaths,2015,2015,1472000.0,616000.0,2378000.0,7.0
344,,"Diet low in 
polyunsaturated fatty acids",Deaths,2015,2015,388000.0,158000.0,610000.0,10.0
345,,Diet high in trans fatty acids,Deaths,2015,2015,448000.0,190000.0,827000.0,9.0
346,,Diet high in sodium,Deaths,2015,2015,4130000.0,2446000.0,6419000.0,1.0
351,,Low physical activity,Deaths,2015,2015,1605000.0,1265000.0,1956000.0,6.0
492,3.0,Diet low in fruits,Deaths,2016,2016,2361200.0,1446100.0,3447830.0,2.0
493,3.0,Diet low in vegetables,Deaths,2016,2016,1519650.0,717790.0,2507050.0,6.0
494,3.0,Diet low in legumes,Deaths,2016,2016,672470.0,288670.0,1113670.0,9.0
495,3.0,Diet low in whole grains,Deaths,2016,2016,2498690.0,1662920.0,3507350.0,1.0
496,3.0,Diet low in nuts and seeds,Deaths,2016,2016,2155040.0,1349070.0,2965360.0,4.0
497,3.0,Diet low in milk,Deaths,2016,2016,123210.0,45000.0,213850.0,14.0
498,3.0,Diet high in red meat,Deaths,2016,2016,31880.0,15080.0,51440.0,15.0
499,3.0,Diet high in processed meat,Deaths,2016,2016,139620.0,29840.0,271400.0,13.0
500,3.0,"Diet high in 
sugar sweetened beverages",Deaths,2016,2016,22560.0,15330.0,33360.0,16.0
501,3.0,Diet low in fiber,Deaths,2016,2016,877850.0,502370.0,1337530.0,8.0
502,3.0,Diet low in calcium,Deaths,2016,2016,159880.0,101070.0,232620.0,12.0
503,3.0,Diet low in seafood omega-3 fatty acids,Deaths,2016,2016,1538760.0,641930.0,2518120.0,5.0
504,3.0,"Diet low in 
polyunsaturated fatty acids",Deaths,2016,2016,404130.0,167800.0,628840.0,10.0
505,3.0,Diet high in trans fatty acids,Deaths,2016,2016,223640.0,62820.0,513159.99999999994,11.0
506,3.0,Diet high in sodium,Deaths,2016,2016,2310470.0,654700.0,4498830.0,3.0
511,2.0,Low physical activity,Deaths,2016,2016,1373340.0,717650.0,2084160.0,7.0
656,3.0,Diet low in fruits,Deaths,2017,2017,2420000.0,1480000.0,3530000.0,3.0
657,3.0,Diet low in vegetables,Deaths,2017,2017,1460000.0,732000.0,2400000.0,5.0
658,3.0,Diet low in legumes,Deaths,2017,2017,535000.0,214000.0,909000.0,10.0
659,3.0,Diet low in whole grains,Deaths,2017,2017,3070000.0,2110000.0,4120000.0,2.0
660,3.0,Diet low in nuts and seeds,Deaths,2017,2017,2060000.0,1330000.0,2880000.0,4.0
661,3.0,Diet low in milk,Deaths,2017,2017,126000.0,45000.0,220000.0,15.0
662,3.0,Diet high in red meat,Deaths,2017,2017,25000.0,11000.0,40000.0,16.0
663,3.0,Diet high in processed meat,Deaths,2017,2017,130000.0,26000.0,265000.0,14.0
664,3.0,"Diet high in 
sugar sweetened beverages",Deaths,2017,2017,137000.0,20000.0,264000.0,13.0
665,3.0,Diet low in fiber,Deaths,2017,2017,873000.0,510000.0,1330000.0,8.0
666,3.0,Diet low in calcium,Deaths,2017,2017,185000.0,116000.0,262000.0,12.0
667,3.0,Diet low in seafood omega-3 fatty acids,Deaths,2017,2017,1440000.0,667000.0,2380000.0,6.0
