Level,Risk_factor,year_gbd,Note
1,Environmental and occupational risks,2010,fake
2,Unimproved water and sanitation,2010,
3,Unimproved water source,2010,
3,Unimproved sanitation,2010,
2,Air pollution,2010,
3,"Ambient
particulate
matter
pollution",2010,
3,Household air pollution from solid fuels,2010,
3,"Ambient
ozone pollution",2010,
2,Other environmental risks,2010,
3,Residential radon,2010,
3,Lead exposure,2010,
2,Occupational risk factors,2010,
3,Occupational carcinogens,2010,
3,Occupational asthmagens,2010,
3,"Occupational
particulate
matter, gases,
and fumes",2010,
3,Occupational noise,2010,
3,Occupational risk factors for injuries,2010,
3,Occupational low back pain,2010,
1,Behavioural risks,2010,fake
2,Child and maternal undernutrition,2010,
3,"Suboptimal
breastfeeding",2010,
3,"Childhood
undernutrition",2010,
3,Iron deficiency,2010,
3,Vitamin A deficiency,2010,
3,Zinc deficiency,2010,
2,Tobacco smoking (including second-hand smoke),2010,
3,Tobacco smoking,2010,
3,Second-hand smoke,2010,
2,Alcohol and drug use,2010,
3,Alcohol use,2010,
3,Drug use,2010,
2,Dietary risk factors and physical inactivity,2010,
3,"Diet low in
fruits",2010,
3,"Diet low in
vegetables",2010,
3,"Diet low in
whole grains",2010,
3,"Diet low in
nuts and seeds",2010,
3,"Diet low in
milk",2010,
3,"Diet high in
red meat",2010,
3,"Diet high in
processed meat",2010,
3,Diet high in sugar sweetened beverages,2010,
3,"Diet low in
fibre",2010,
3,"Diet low
in calcium",2010,
3,"Diet low
in seafood
omega-3 fatty
acids",2010,
3,"Diet low in
polyunsaturated
fatty acids",2010,
3,"Diet high
in trans fatty
acids",2010,
3,"Diet high
in sodium",2010,
3,Physical inactivity and low physical activity,2010,
2,Sexual abuse and violence,2010,
3,Childhood sexual abuse,2010,
3,Intimate partner violence,2010,
1,Physiological risk factors,2010,fake
2,"High fasting
plasma glucose",2010,
2,"High total
cholesterol",2010,
2,"High blood
pressure",2010,
2,High body-mass index,2010,
2,"Low bone
mineral density",2010,
0,All risk factors,2013,
1,Environmental risks,2013,
2,"Unsafe water, sanitation, and handwashing",2013,
3,Unsafe water source,2013,
3,Unsafe sanitation,2013,
3,No handwashing with soap,2013,
2,Air pollution,2013,
3,"Ambient
particulate
matter
pollution",2013,
3,Household air pollution from solid fuels,2013,
3,"Ambient
ozone pollution",2013,
2,Other environmental risks,2013,
3,Residential radon,2013,
3,Lead exposure,2013,
2,Occupational risks,2013,
3,Occupational carcinogens,2013,
3,Occupational asthmagens,2013,
3,"Occupational particulate matter, gases, and fumes",2013,
3,Occupational noise,2013,
3,Occupational injuries,2013,
3,Occupational ergonomic factors,2013,
