Risk_factor,1990,2005,2006,2007,2010,2013,2015,2016,2017,2019,2021
Air pollution,6804 (4808-7341) [0.4],7110 (6466-8099) [0.2],7096 (6220-7954) [0.2],7115 (4630-7943) [0.5],7670 (6576-8022) [0.2],7205 (5527-8157) [0.4],7276 (6485-8210) [0.2],7314 (6116-8203) [0.3],7291 (4900-8123) [0.5],7617 (6672-7966) [0.2],7823 (7565-8080) [0.1]
Ambient ozone pollution,173 (133-235) [0.6],315 (207-359) [0.5],331 (188-371) [0.6],377 (330-392) [0.2],332 (152-390) [0.8],330 (217-393) [0.6],340 (254-410) [0.5],363 (234-438) [0.6],430 (356-472) [0.3],404 (365-470) [0.3],436 (381-490) [0.2]
Ambient particulate matter pollution,2336 (2047-2910) [0.4],3255 (2913-3934) [0.3],3242 (2951-3687) [0.2],3033 (2420-3302) [0.3],3359 (3224-3617) [0.1],3699 (2926-4240) [0.4],4241 (3871-4583) [0.2],4093 (3876-4630) [0.2],3882 (2940-4612) [0.4],4372 (4141-4602) [0.1],4719 (4719-4719) [0.0]
Chewing tobacco,25 (25-108) [1.6],37 (37-151) [1.5],38 (38-159) [1.6],49 (39-166) [1.7],41 (41-178) [1.6],45 (44-192) [1.6],48 (47-203) [1.6],50 (49-214) [1.6],64 (51-222) [1.7],56 (54-227) [1.5],153 (57-248) [1.3]
Child and maternal malnutrition,7001 (4254-7332) [0.5],4636 (2280-4954) [0.6],4498 (4301-4795) [0.1],4563 (4259-4650) [0.1],4165 (3944-4235) [0.1],3669 (1665-3838) [0.7],3452 (1414-3545) [0.7],3318 (2737-3402) [0.2],3208 (3155-3256) [0.0],2938 (2911-2951) [0.0],2578 (2573-2582) [0.0]
Child growth failure,3903 (3675-4112) [0.1],2221 (2200-2243) [0.0],2107 (1875-2131) [0.1],2006 (1980-2031) [0.0],1820 (1733-1825) [0.1],1548 (1503-1563) [0.0],1411 (1347-1439) [0.1],1304 (1011-1381) [0.3],1234 (1190-1327) [0.1],1104 (1065-1198) [0.1],950 (888-1012) [0.1]
Childhood undernutrition,3635 (3635-3635) [0.0],2093 (2093-2093) [0.0],,,,1327 (1327-1327) [0.0],1265 (1265-1265) [0.0],,,,
Diet high in processed meat,243 (218-732) [1.4],291 (241-476) [0.7],254 (147-297) [0.6],253 (125-290) [0.7],275 (240-841) [1.5],273 (244-644) [1.1],280 (255-541) [0.8],270 (140-288) [0.6],274 (130-291) [0.7],290 (274-304) [0.1],293 (290-295) [0.0]
Diet high in red meat,180 (26-578) [2.7],216 (37-719) [2.3],219 (23-713) [2.4],224 (17-717) [2.4],243 (38-756) [2.2],267 (102-786) [1.9],285 (43-818) [2.2],293 (32-836) [2.2],303 (25-850) [2.2],321 (315-896) [1.1],336 (334-338) [0.0]
Diet high in sodium,1320 (1221-2562) [0.8],1515 (1320-3668) [1.2],1498 (1324-2094) [0.5],1506 (1338-2520) [0.7],1599 (1375-3104) [0.9],1659 (1427-3689) [1.1],1706 (1490-4130) [1.2],1740 (1543-2310) [0.4],1767 (1581-3200) [0.8],1795 (1525-1885) [0.2],1746 (1635-1858) [0.1]
Diet high in sugar sweetened beverages,60 (28-184) [1.6],67 (34-190) [1.7],68 (18-190) [2.0],105 (47-191) [1.3],150 (51-300) [1.5],118 (56-210) [1.2],90 (39-219) [1.6],94 (23-224) [1.9],133 (66-230) [1.2],139 (72-242) [1.1],114 (76-152) [0.7]
Diet high in trans fatty acids,387 (131-464) [0.9],405 (136-537) [1.1],331 (131-536) [1.2],338 (126-535) [1.2],470 (112-545) [1.1],430 (112-570) [1.2],456 (117-591) [1.2],349 (120-602) [1.4],369 (121-613) [1.3],414 (90-645) [1.4],272 (93-451) [1.3]
Diet low in calcium,64 (53-85) [0.5],82 (60-127) [0.8],83 (61-135) [0.8],85 (62-145) [0.9],90 (64-126) [0.7],95 (65-141) [0.8],99 (67-160) [0.9],101 (69-160) [0.8],103 (70-185) [1.0],81 (70-138) [0.7],80 (75-84) [0.1]
Diet low in fiber,530 (407-716) [0.6],517 (334-618) [0.6],603 (429-770) [0.6],599 (428-737) [0.5],594 (422-743) [0.5],590 (435-1009) [0.9],512 (387-597) [0.4],594 (443-878) [0.7],595 (441-873) [0.7],605 (424-606) [0.3],535 (451-619) [0.3]
Diet low in fruits,1152 (796-3667) [1.5],1324 (946-2713) [1.1],1329 (939-2339) [0.9],1347 (939-2220) [0.9],1402 (950-4902) [1.8],1483 (964-3413) [1.3],1541 (984-2924) [1.1],1583 (996-2361) [0.8],1610 (1008-2420) [0.8],1607 (1046-1652) [0.4],1710 (1684-1737) [0.0]
Diet low in legumes,439 (310-804) [1.0],488 (338-925) [1.0],540 (333-924) [1.0],485 (333-931) [1.1],498 (342-967) [1.0],524 (355-1004) [1.0],540 (363-1039) [1.0],612 (367-1053) [1.0],547 (369-1068) [1.1],545 (379-1116) [1.1],485 (389-582) [0.4]
Diet low in milk,72 (66-78) [0.2],103 (99-109) [0.1],104 (100-111) [0.1],106 (96-114) [0.2],113 (101-126) [0.2],120 (105-136) [0.3],127 (125-144) [0.2],130 (123-149) [0.2],134 (126-154) [0.2],140 (137-166) [0.2],146 (146-147) [0.0]
Diet low in nuts and seeds,710 (431-1914) [1.6],680 (503-1830) [1.4],677 (502-1879) [1.5],681 (506-1740) [1.4],692 (523-2472) [1.8],721 (538-1195) [0.8],729 (551-2131) [1.5],738 (556-2155) [1.5],737 (561-2060) [1.5],645 (575-818) [0.4],767 (658-876) [0.3]
Diet low in polyunsaturated fatty acids,444 (226-448) [0.6],400 (281-574) [0.7],415 (282-572) [0.7],520 (285-676) [0.8],500 (299-616) [0.7],537 (313-652) [0.7],445 (323-671) [0.7],457 (328-682) [0.7],598 (332-799) [0.8],491 (346-716) [0.7],632 (525-738) [0.3]
Diet low in seafood omega-3 fatty acids,500 (216-1043) [1.4],567 (266-1279) [1.5],561 (267-1348) [1.6],560 (271-1220) [1.5],554 (286-1390) [1.6],568 (301-1031) [1.2],569 (313-1472) [1.6],574 (319-1539) [1.6],571 (325-1440) [1.5],499 (337-619) [0.6],576 (524-627) [0.2]
Diet low in vegetables,686 (466-1454) [1.1],684 (448-1842) [1.5],688 (450-1474) [1.2],696 (452-1390) [1.2],723 (464-1797) [1.4],759 (480-1782) [1.4],790 (493-1994) [1.5],807 (501-1520) [1.1],821 (509-1460) [1.1],841 (529-841) [0.4],882 (861-903) [0.0]
Diet low in whole grains,1178 (762-1396) [0.6],1375 (910-2879) [1.2],1368 (917-2253) [0.9],1380 (929-2630) [1.1],1443 (958-1726) [0.6],1507 (1021-2049) [0.7],1558 (1059-3142) [1.1],1584 (1085-2499) [0.8],1604 (1101-3070) [1.1],1504 (1083-1845) [0.5],1352 (1157-1546) [0.3]
