Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper
,Unsafe water source,Deaths,2010,1990,288007.0,20641.0,553293.0
,Unsafe sanitation,Deaths,2010,1990,496986.0,15380.0,927845.0
,Ambient particulate matter pollution,Deaths,2010,1990,2910161.0,2546184.0,3286508.0
,Household air pollution from solid fuels,Deaths,2010,1990,4473490.0,3651253.0,5206632.0
,Ambient ozone pollution,Deaths,2010,1990,143362.0,47539.0,251885.0
,Other environmental risks,Deaths,2010,1990,209923.0,177673.0,243565.0
,Lead exposure,Deaths,2010,1990,209923.0,177673.0,243565.0
,Suboptimal breastfeeding,Deaths,2010,1990,1275024.0,802142.0,1772745.0
,Non-exclusive breastfeeding,Deaths,2010,1990,1117908.0,663274.0,1576633.0
,Discontinued breastfeeding,Deaths,2010,1990,157117.0,16188.0,341702.0
,Childhood underweight,Deaths,2010,1990,2263952.0,1927356.0,2735821.0
,Iron deficiency,Deaths,2010,1990,168084.0,130444.0,197085.0
,Vitamin A deficiency,Deaths,2010,1990,349354.0,170504.0,632149.0
,Zinc deficiency,Deaths,2010,1990,275590.0,51274.0,529451.0
,Tobacco,Deaths,2010,1990,5329808.0,4778526.0,6049296.0
,Smoking,Deaths,2010,1990,4576298.0,4068753.0,5312438.0
,Second-hand smoke,Deaths,2010,1990,753510.0,585131.0,912313.0
,Alcohol and drug use,Deaths,2010,1990,2047814.0,1831313.0,2270020.0
,High alcohol use,Deaths,2010,1990,1988502.0,1772115.0,2214916.0
,Drug use,Deaths,2010,1990,68577.0,50706.0,102395.0
,High fasting plasma glucose,Deaths,2010,1990,2104174.0,1797633.0,2401170.0
,High LDL cholesterol*,Deaths,2010,1990,1945920.0,1625929.0,2318054.0
,High systolic blood pressure,Deaths,2010,1990,7293185.0,6701203.0,7859894.0
,High body-mass index,Deaths,2010,1990,1963549.0,1590282.0,2345133.0
,Low bone mineral density,Deaths,2010,1990,103270.0,90672.0,124230.0
,Diet low in fruits,Deaths,2010,1990,3667202.0,2870267.0,4394152.0
,Diet low in vegetables,Deaths,2010,1990,1454057.0,978665.0,1924334.0
,Diet low in whole grains,Deaths,2010,1990,1230276.0,958136.0,1489812.0
,Diet low in nuts and seeds,Deaths,2010,1990,1914209.0,1216363.0,2487874.0
,Diet low in milk,Deaths,2010,1990,68150.0,20479.0,114435.0
,Diet high in red meat,Deaths,2010,1990,26439.0,7374.0,45232.0
,Diet high in processed meat,Deaths,2010,1990,731675.0,158044.0,1257423.0
,Diet high in sugar sweetened beverages,Deaths,2010,1990,183799.0,127938.0,240028.0
,Diet low in fiber,Deaths,2010,1990,584144.0,260065.0,914729.0
,Diet low in calcium,Deaths,2010,1990,82305.0,57324.0,108535.0
,Diet low in seafood omega-3 fatty acids,Deaths,2010,1990,1043085.0,757418.0,1327627.0
