Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper
,Unsafe water source,Deaths,2010,2010,116126.0,7518.0,233136.0
,Unsafe sanitation,Deaths,2010,2010,244106.0,6027.0,478186.0
,Ambient particulate matter pollution,Deaths,2010,2010,3223540.0,2828854.0,3619148.0
,Household air pollution from solid fuels,Deaths,2010,2010,3478773.0,2638548.0,4386590.0
,Ambient ozone pollution,Deaths,2010,2010,152434.0,52272.0,267431.0
,Other environmental risks,Deaths,2010,2010,773030.0,640893.0,929935.0
,Residential radon,Deaths,2010,2010,98992.0,13133.0,215237.0
,Lead exposure,Deaths,2010,2010,674038.0,575858.0,779314.0
,Suboptimal breastfeeding,Deaths,2010,2010,544817.0,338453.0,775077.0
,Non-exclusive breastfeeding,Deaths,2010,2010,475888.0,272493.0,684422.0
,Discontinued breastfeeding,Deaths,2010,2010,68929.0,6445.0,153290.0
,Childhood underweight,Deaths,2010,2010,860117.0,715742.0,1033573.0
,Iron deficiency,Deaths,2010,2010,119608.0,93261.0,139985.0
,Vitamin A deficiency,Deaths,2010,2010,119762.0,61723.0,191846.0
,Zinc deficiency,Deaths,2010,2010,97330.0,17575.0,190527.0
,Tobacco,Deaths,2010,2010,6297287.0,5395769.0,7006942.0
,Smoking,Deaths,2010,2010,5695349.0,4755779.0,6421611.0
,Second-hand smoke,Deaths,2010,2010,601938.0,447705.0,745328.0
,Alcohol and drug use,Deaths,2010,2010,2882343.0,2601098.0,3161618.0
,High alcohol use,Deaths,2010,2010,2735511.0,2464575.0,3006459.0
,Drug use,Deaths,2010,2010,157805.0,124639.0,209873.0
,High fasting plasma glucose,Deaths,2010,2010,3356271.0,2917520.0,3782483.0
,High LDL cholesterol*,Deaths,2010,2010,2018811.0,1572853.0,2479097.0
,High systolic blood pressure,Deaths,2010,2010,9395860.0,8579630.0,10147805.0
,High body-mass index,Deaths,2010,2010,3371232.0,2817774.0,3951127.0
,Low bone mineral density,Deaths,2010,2010,187586.0,140636.0,219906.0
,Diet low in fruits,Deaths,2010,2010,4902242.0,3818356.0,5881561.0
,Diet low in vegetables,Deaths,2010,2010,1797254.0,1205059.0,2394366.0
,Diet low in whole grains,Deaths,2010,2010,1725812.0,1342896.0,2067224.0
,Diet low in nuts and seeds,Deaths,2010,2010,2471823.0,1559603.0,3226994.0
,Diet low in milk,Deaths,2010,2010,100951.0,29728.0,171340.0
,Diet high in red meat,Deaths,2010,2010,38092.0,10749.0,65727.0
,Diet high in processed meat,Deaths,2010,2010,840857.0,188952.0,1460279.0
,"Diet high in 
sugar sweetened beverages",Deaths,2010,2010,299521.0,212310.0,403716.0
,Diet low in fiber,Deaths,2010,2010,742888.0,334379.0,1166933.0
,Diet low in calcium,Deaths,2010,2010,125594.0,88323.0,164800.0
,Diet low in seafood omega-3 fatty acids,Deaths,2010,2010,1389896.0,1010300.0,1781401.0
,"Diet low in 
polyunsaturated fatty acids",Deaths,2010,2010,533603.0,245096.0,820854.0
,Diet high in trans fatty acids,Deaths,2010,2010,515260.0,371081.0,649451.0
,Diet high in sodium,Deaths,2010,2010,3104308.0,2016734.0,4105019.0
,Low physical activity,Deaths,2010,2010,3183940.0,2657204.0,3718963.0
,Occupational risks,Deaths,2010,2010,852107.0,659652.0,1062443.0
,Occupational carcinogens,Deaths,2010,2010,118097.0,77249.0,160431.0
,Occupational exposure to asbestos,Deaths,2010,2010,33610.0,20317.0,43647.0
,Occupational exposure to arsenic,Deaths,2010,2010,2662.0,1011.0,4860.0
,Occupational exposure to benzene,Deaths,2010,2010,2731.0,1111.0,4811.0
,Occupational exposure to beryllium,Deaths,2010,2010,163.0,65.0,276.0
,Occupational exposure to cadmium,Deaths,2010,2010,555.0,249.0,901.0
,Occupational exposure to chromium,Deaths,2010,2010,1931.0,1140.0,2799.0
,Occupational exposure to diesel engine exhaust,Deaths,2010,2010,22187.0,12180.0,33213.0
,Occupational exposure to second-hand smoke,Deaths,2010,2010,24235.0,16094.0,31803.0
,Occupational exposure to formaldehyde,Deaths,2010,2010,731.0,301.0,1361.0
,Occupational exposure to nickel,Deaths,2010,2010,9145.0,2449.0,18834.0
,Occupational exposure to polycyclic aromatic hydrocarbons,Deaths,2010,2010,4086.0,1909.0,6567.0
,Occupational exposure to silica,Deaths,2010,2010,16277.0,9875.0,22272.0
,Occupational exposure to sulphuric acid,Deaths,2010,2010,2845.0,833.0,6109.0
,Occupational asthmagens,Deaths,2010,2010,33716.0,22844.0,58659.0
,"Occupational particulate matter, gases, and fumes",Deaths,2010,2010,218864.0,100403.0,344633.0
,Occupational noise,Deaths,2010,2010,0.0,0.0,0.0
,Occupational injuries,Deaths,2010,2010,481429.0,363778.0,639590.0
,Sexual abuse and violence,Deaths,2010,2010,238359.0,143200.0,325690.0
,Childhood sexual abuse,Deaths,2010,2010,64438.0,37339.0,94174.0
,Intimate partner violence,Deaths,2010,2010,186365.0,92028.0,280059.0
,Unsafe water source,DALYs,2010,2010,7775000.0,514000.0,15705000.0
,Unsafe sanitation,DALYs,2010,2010,14927000.0,377000.0,29705000.0
,Ambient particulate matter pollution,DALYs,2010,2010,76163000.0,68086000.0,85171000.0
,Household air pollution from solid fuels,DALYs,2010,2010,110962000.0,86848000.0,137813000.0
,Ambient ozone pollution,DALYs,2010,2010,2456000.0,837000.0,4299000.0
,Other environmental risks,DALYs,2010,2010,16051000.0,13212000.0,19503000.0
,Residential radon,DALYs,2010,2010,2114000.0,273000.0,4660000.0
,Lead exposure,DALYs,2010,2010,13936000.0,11750000.0,16327000.0
,Suboptimal breastfeeding,DALYs,2010,2010,47537000.0,29868000.0,67518000.0
,Non-exclusive breastfeeding,DALYs,2010,2010,41108000.0,23668000.0,58913000.0
,Discontinued breastfeeding,DALYs,2010,2010,6429000.0,605000.0,14426000.0
,Childhood underweight,DALYs,2010,2010,77316000.0,64497000.0,91943000.0
,Iron deficiency,DALYs,2010,2010,48225000.0,33769000.0,67592000.0
,Vitamin A deficiency,DALYs,2010,2010,10770000.0,5625000.0,17149000.0
,Zinc deficiency,DALYs,2010,2010,9136000.0,2458000.0,16903000.0
,Tobacco,DALYs,2010,2010,156838000.0,136543000.0,173057000.0
,Smoking,DALYs,2010,2010,136907000.0,117201000.0,153778000.0
,Second-hand smoke,DALYs,2010,2010,19931000.0,15707000.0,24223000.0
,Alcohol and drug use,DALYs,2010,2010,161308000.0,146934000.0,175282000.0
,High alcohol use,DALYs,2010,2010,136063000.0,125361000.0,146788000.0
,Drug use,DALYs,2010,2010,23810000.0,18780000.0,29246000.0
,High fasting plasma glucose,DALYs,2010,2010,89012000.0,77743000.0,101390000.0
,High LDL cholesterol*,DALYs,2010,2010,40900000.0,31662000.0,50484000.0
,High systolic blood pressure,DALYs,2010,2010,173556000.0,155939000.0,189025000.0
