Level,Risk_factor,measure,year_gbd,anal_year,val,lower,upper,Group,Overarching_group
,Unsafe water source,Deaths,2010,1990,288007.0,20641.0,553293.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Unsafe sanitation,Deaths,2010,1990,496986.0,15380.0,927845.0,"Unsafe water, sanitation, and handwashing",Environmental/occupational risks
,Ambient particulate matter pollution,Deaths,2010,1990,2910161.0,2546184.0,3286508.0,Air pollution,Environmental/occupational risks
,Household air pollution from solid fuels,Deaths,2010,1990,4473490.0,3651253.0,5206632.0,Air pollution,Environmental/occupational risks
,Ambient ozone pollution,Deaths,2010,1990,143362.0,47539.0,251885.0,Air pollution,Environmental/occupational risks
,Other environmental risks,Deaths,2010,1990,209923.0,177673.0,243565.0,Other environmental risks,Environmental/occupational risks
,Lead exposure,Deaths,2010,1990,209923.0,177673.0,243565.0,Other environmental risks,Environmental/occupational risks
,Suboptimal breastfeeding,Deaths,2010,1990,1275024.0,802142.0,1772745.0,Child and maternal malnutrition,Behavioural risks
,Iron deficiency,Deaths,2010,1990,168084.0,130444.0,197085.0,Child and maternal malnutrition,Behavioural risks
,Vitamin A deficiency,Deaths,2010,1990,349354.0,170504.0,632149.0,Child and maternal malnutrition,Behavioural risks
,Zinc deficiency,Deaths,2010,1990,275590.0,51274.0,529451.0,Child and maternal malnutrition,Behavioural risks
,Tobacco,Deaths,2010,1990,5329808.0,4778526.0,6049296.0,Tobacco,Behavioural risks
,Smoking,Deaths,2010,1990,4576298.0,4068753.0,5312438.0,Tobacco,Behavioural risks
,Second-hand smoke,Deaths,2010,1990,753510.0,585131.0,912313.0,Tobacco,Behavioural risks
,High alcohol use,Deaths,2010,1990,1988502.0,1772115.0,2214916.0,High alcohol use,Behavioural risks
,Drug use,Deaths,2010,1990,68577.0,50706.0,102395.0,Drug use,Behavioural risks
,High fasting plasma glucose,Deaths,2010,1990,2104174.0,1797633.0,2401170.0,High fasting plasma glucose,Metabolic risks
