,Overarching_group,Group,Risk_factor,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs,Median Deaths (Min-Max),Median DALYs (Min-Max)
0,All risk factors,Other,All risk factors,33421437.0,30839000.0,35000050.0,6.0,33169320.7,1518884.6,933000.0,4161050.0,0.1,0.1,0.0,1.1,1.1,0.0,1137138013.0,996554000.0,1213261691.0,6,1118260286.2,100035519.7,74492832.5,216707691.0,0.2,0.2,0.1,1.2,1.1,0.1,33421437.0 (30839000.0-35000050.0),1137138013.0 (996554000.0-1213261691.0)
1,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2654950.7,1414000.0,3190000.0,6.0,2419450.9,716510.2,408951.2,1776000.0,0.7,0.7,0.3,2.3,1.9,0.2,273552858.0,172120000.0,327000000.0,6,252977337.6,63890486.1,37336796.7,154880000.0,0.6,0.6,0.3,1.9,1.6,0.2,2654950.7 (1414000.0-3190000.0),273552858.0 (172120000.0-327000000.0)
2,Behavioural risks,Child and maternal malnutrition,Child growth failure,1037643.0,888199.3,1190000.0,4.0,1038371.3,125178.2,88253.3,301800.7,0.3,0.3,0.1,1.3,1.2,0.1,90479848.0,74061457.1,100000000.0,4,88755288.3,10790999.4,5120037.0,25938542.9,0.3,0.3,0.1,1.4,1.2,0.1,1037643.0 (888199.3-1190000.0),90479848.0 (74061457.1-100000000.0)
3,Behavioural risks,Child and maternal malnutrition,Childhood undernutrition,1296000.0,1265000.0,1327000.0,2.0,1296000.0,43840.6,31000.0,62000.0,0.0,0.0,0.0,1.0,1.0,0.0,116541000.0,113280000.0,119802000.0,2,116541000.0,4611750.4,3261000.0,6522000.0,0.1,0.1,0.0,1.1,1.0,0.0,1296000.0 (1265000.0-1327000.0),116541000.0 (113280000.0-119802000.0)
4,Behavioural risks,Child and maternal malnutrition,Iron deficiency,60000.0,20950.0,199000.0,7.0,80028.4,62101.4,25708.2,178050.0,3.0,2.2,0.8,9.5,3.3,0.6,35849870.0,31263125.1,52870000.0,7,40154088.3,8346997.6,4586744.9,21606874.9,0.6,0.5,0.2,1.7,1.5,0.2,60000.0 (20950.0-199000.0),35849870.0 (31263125.1-52870000.0)
5,Behavioural risks,Child and maternal malnutrition,Low birth weight and short gestation,1739540.8,1626132.5,1880000.0,4.0,1746303.5,117052.2,89674.5,253867.5,0.1,0.1,0.1,1.2,1.1,0.1,165090887.7,144947750.0,178000000.0,4,163282381.3,14250521.6,8952648.0,33052250.0,0.2,0.2,0.1,1.2,1.1,0.1,1739540.8 (1626132.5-1880000.0),165090887.7 (144947750.0-178000000.0)
6,Behavioural risks,Child and maternal malnutrition,Suboptimal breastfeeding,169000.0,101023.1,544817.0,7.0,286520.3,186849.9,67976.9,443793.9,2.6,1.5,0.7,5.4,3.2,0.6,15000000.0,9139749.4,47537000.0,7,25204014.3,16254171.9,5860250.6,38397250.6,2.6,1.5,0.6,5.2,3.2,0.6,169000.0 (101023.1-544817.0),15000000.0 (9139749.4-47537000.0)
7,Behavioural risks,Child and maternal malnutrition,Vitamin A deficiency,83000.0,17374.4,233000.0,7.0,86309.5,74442.9,40820.0,215625.6,2.6,2.5,0.9,13.4,4.8,0.7,7611000.0,2663755.7,29000000.0,7,9313694.7,9160790.6,3631950.0,26336244.3,3.5,2.8,1.0,10.9,3.8,0.7,83000.0 (17374.4-233000.0),7611000.0 (2663755.7-29000000.0)
8,Behavioural risks,Child and maternal malnutrition,Zinc deficiency,29000.0,1611.6,97330.0,7.0,39548.2,35087.2,26194.1,95718.4,3.3,2.4,0.9,60.4,18.0,1.3,2580000.0,148447.0,9136000.0,7,3618844.3,3271231.4,2387000.0,8987553.0,3.5,2.5,0.9,61.5,17.4,1.4,29000.0 (1611.6-97330.0),2580000.0 (148447.0-9136000.0)
9,Behavioural risks,Dietary risks,"Diet high in 
sugar sweetened beverages",126000.0,22560.0,299521.0,7.0,134574.9,103294.8,87000.0,276961.0,2.2,2.1,0.8,13.3,5.6,1.0,4450000.0,779510.0,8553000.0,7,4476709.8,2783744.1,1857561.8,7773490.0,1.7,1.7,0.6,11.0,5.7,0.6,126000.0 (22560.0-299521.0),4450000.0 (779510.0-8553000.0)
