,Overarching_group,Group,Risk_factor,anal_year,median_Deaths,min_Deaths,max_Deaths,n_estimates_Deaths,mean_Deaths,std_Deaths,mad_Deaths,range_Deaths,fold_range_vs_median_Deaths,rmu_Deaths,cv_Deaths,max_vs_min_Deaths,f_med_Deaths,rcv_m_Deaths,median_DALYs,min_DALYs,max_DALYs,n_estimates_DALYs,mean_DALYs,std_DALYs,mad_DALYs,range_DALYs,fold_range_vs_median_DALYs,rmu_DALYs,cv_DALYs,max_vs_min_DALYs,f_med_DALYs,rcv_m_DALYs
0,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,1990,7000760.28588041,4254000.0,7331634.19386289,4.0,6396788.691405928,1452955.29628005,296868.6927472898,3077634.19386289,0.43961428019040494,0.4811217537946321,0.22713823550746523,1.7234683107341067,1.6456888307194193,0.06284451755030411,650836971.299976,403951000.0,696903291.786218,4,600632058.5965425,133432027.91099477,30275937.22854954,292952291.78621805,0.45011624216903007,0.48774001919035165,0.22215269065520185,1.7252173946498908,1.611178017383237,0.06894036594615945
1,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2005,4635658.20726988,2280000.0,4953802.64675433,4.0,4126279.7653235225,1242369.8551738882,206470.38131039497,2673802.64675433,0.5767902910877108,0.6479935435363505,0.3010871598223975,2.1727204591027762,2.0331834242411753,0.06600769328121243,458017696.020339,248339000.0,468161213.629146,4,408133901.41745603,106713525.21803044,7542961.3213529885,219822213.62914598,0.4799426212985981,0.5386031713261252,0.261466947115671,1.8851699234882398,1.8443244758992305,0.024406630519683507
2,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2006,4497992.3130259,4301090.0,4795381.89324262,4.0,4523114.129823605,221943.54537701842,152175.16351169022,494291.89324261993,0.10989167140441347,0.10928132234901104,0.04906874755019147,1.114922471569444,1.0661160712426072,0.05013872337469829,446144684.60373104,406715030.0,454678576.274539,4,438420743.87050027,22087325.989345826,7321900.431263983,47963546.274538994,0.10750670786796566,0.10940072281047532,0.0503792904376576,1.1179291217109408,1.0969466375602865,0.02432183283494952
3,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2007,4562672.055908116,4258595.74092278,4650000.0,4.0,4508484.9631847525,182797.59021547626,82234.14491731487,391404.2590772202,0.0857839998757742,0.08681503038677894,0.040545236749852595,1.0919092308565566,1.0714029538101795,0.02671044538685445,441628785.285126,428503107.578231,455000000.0,4,441690169.53712076,10818509.128334312,6651363.686535507,26496892.421769023,0.05999810996165479,0.059989771675328527,0.024493434254314092,1.0618359399340682,1.0306314644509285,0.02232037700414275
4,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2010,4164737.2969023,3944401.33311598,4234792.8739355,3.0,4114643.83465126,151538.20628840142,70055.5770332003,290391.54081952013,0.06972625645212033,0.0705751342009247,0.036828997205597784,1.0736211952829147,1.055860432338983,0.024928910940055005,406683603.467776,400218423.558839,413111470.51362,3,406671165.846745,6446532.4760959335,6427867.045844018,12893046.954780996,0.0317028934651962,0.03170386306571775,0.015851953660578247,1.0322150260853384,1.016154128666659,0.02342385795914107
5,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2013,3669390.5156343346,1665000.0,3838076.96147437,4.0,3210464.49818576,1037870.1351734019,143439.70573032042,2173076.96147437,0.5922174138226621,0.6768730701437068,0.3232772503044044,2.305151328212835,2.203838147528129,0.05793268472968355,369893377.25817204,176859000.0,380926179.151682,4,324392983.4170065,98520027.20990211,6918948.720118016,204067179.15168202,0.5516918974444103,0.6290739614714603,0.30370578972497325,2.153841077647629,2.0914591694975773,0.027721183004739403
6,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2015,3452090.5000455547,1414000.0,3544990.58935279,4.0,2965792.897360975,1037908.676761843,90126.96136944019,2130990.58935279,0.6173043810191734,0.7185230604770111,0.34995993067668213,2.5070654804475176,2.4413652758455124,0.038691962666606725,348801864.8087855,172120000.0,359106213.366965,4,307207485.746134,90196608.63457152,5858675.7339665,186986213.366965,0.5360814612314976,0.6086642482451882,0.29360159768081623,2.0863712140771846,2.0265039786706107,0.024892520120264158
7,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2016,3318113.3518353,2736960.0,3402435.52217358,4.0,3193905.556461045,310899.98190695466,71395.60076330486,665475.5221735798,0.20055840521707763,0.20835792117502344,0.09734163281003284,1.2431440438199972,1.212335347186404,0.031888084918103715,336737123.68166,275068980.0,346733093.380144,4,323819080.185866,32991988.28827117,6935699.654183,71664113.380144,0.21281916468435733,0.22130911291271088,0.10188401581937172,1.260531425172493,1.2241915598104156,0.03052442443862041
8,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2017,3207642.7414568597,3154674.86092795,3255737.2627084,4.0,3206424.4016375174,43723.65716140912,32868.63135420019,101062.40178044979,0.03150675119591057,0.031518722764471645,0.013636266346737974,1.03203575843335,1.0167902819986112,0.015186015274506783,328807217.30477154,319785693.137199,333346044.656987,4,327686543.10093224,5873592.82801827,3173022.3284935057,13560351.519788027,0.04124103975253965,0.04138208237501911,0.017924424886160546,1.042404497170454,1.028211156287414,0.01430144730207884
9,Behavioural risks,Child and maternal malnutrition,Child and maternal malnutrition,2019,2937803.72020609,2910677.98070586,2950852.76128222,3.0,2933111.487398057,20494.292745378083,13049.041076130234,40174.780576359946,0.013675107121704388,0.013696983817004078,0.006987219147117531,1.013802550760568,1.0093193887060126,0.006582699430126795,305565627.276534,294779309.42354,308202563.233042,3,302849166.644372,7111983.16105588,2636935.956507981,13423253.809502006,0.043929200836958296,0.04432323178641792,0.023483581744199743,1.04553662139908,1.036591163314981,0.012789197274496386
