Overarching_group,Group,DALYs,Deaths
All risk factors,,0/1 (0.0),0/1 (0.0)
All risk factors,Other,0/1 (0.0),0/1 (0.0)
Behavioural risks,,14/34 (0.41),17/34 (0.5)
Behavioural risks,Child and maternal malnutrition,3/8 (0.38),4/8 (0.5)
Behavioural risks,Dietary risks,7/16 (0.44),9/16 (0.56)
Behavioural risks,Drug use,0/1 (0.0),0/1 (0.0)
Behavioural risks,High alcohol use,0/1 (0.0),0/1 (0.0)
Behavioural risks,Intimate partner violence,1/1 (1.0),1/1 (1.0)
Behavioural risks,Low physical activity,1/1 (1.0),1/1 (1.0)
Behavioural risks,Other,0/1 (0.0),0/1 (0.0)
Behavioural risks,Tobacco,2/4 (0.5),2/4 (0.5)
Behavioural risks,Unsafe sex,0/1 (0.0),0/1 (0.0)
Environmental/occupational risks,,6/24 (0.25),5/24 (0.21)
Environmental/occupational risks,Air pollution,1/6 (0.17),0/6 (0.0)
Environmental/occupational risks,Non-optimal temperature,0/3 (0.0),0/3 (0.0)
Environmental/occupational risks,Occupational risks,2/7 (0.29),2/7 (0.29)
Environmental/occupational risks,Other,0/1 (0.0),0/1 (0.0)
Environmental/occupational risks,Other environmental risks,2/3 (0.67),2/3 (0.67)
Environmental/occupational risks,"Unsafe water, sanitation, and handwashing",1/4 (0.25),1/4 (0.25)
Metabolic risks,,1/7 (0.14),0/7 (0.0)
Metabolic risks,High LDL cholesterol*,0/1 (0.0),0/1 (0.0)
Metabolic risks,High body-mass index,0/1 (0.0),0/1 (0.0)
Metabolic risks,High fasting plasma glucose,0/1 (0.0),0/1 (0.0)
Metabolic risks,High systolic blood pressure,0/1 (0.0),0/1 (0.0)
Metabolic risks,Kidney dysfunction*,0/1 (0.0),0/1 (0.0)
Metabolic risks,Low bone mineral density,1/1 (1.0),0/1 (0.0)
Metabolic risks,Other,0/1 (0.0),0/1 (0.0)
